,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,UNSAFE_ACTION,DRIVER_BLIND,cause_bins,driver_maneuver_bins,physical_bins,hour_bins,SEX
122,0.0,0.0,Adult,Safe,0.0,1.0,Adverse Weather,Wet,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Afternoon,M
123,1.0,1.0,Middle-aged,Unsafe,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Unknown,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
124,0.0,1.0,Unknown,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,DRIVER ERROR,0.0,Unknown,Unknown,Normal,Night,M
125,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,F
126,0.0,1.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Morning,F
127,0.0,1.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,Unknown,Skill,Turning Maneuver,Normal,Afternoon,F
128,1.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Wet,0,Average Speed,Unknown,0.0,Reckless,Straight Ahead,Normal,Night,M
129,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Unknown,Unknown,Normal,Afternoon,M
130,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Unknown,0.0,Skill,Unknown,Normal,Afternoon,F
131,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,0.0,Skill,Unknown,Normal,Night,F
132,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Unknown,0.0,Skill,Straight Ahead,Normal,Morning,M
133,1.0,0.0,Middle-aged,Unknown,0.0,0.0,Clear Weather,Dry,0,Average Speed,Unknown,Unknown,Unknown,Straight Ahead,Shaken,Night,M
134,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,0,Average Speed,DRIVER ERROR,0.0,Unknown,Unknown,Normal,Night,M
135,0.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,DRIVER ERROR,0.0,Skill,Unknown,Normal,Afternoon,F
