,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,DRIVER_BLIND,cause_bins,driver_maneuver_bins,physical_bins,hour_bins,SEX
677,0.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
679,0.0,1.0,Adult,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
680,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
689,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,0,Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Night,M
691,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
694,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Turning Maneuver,Normal,Early Morning,M
698,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,F
702,0.0,0.0,Adolescent,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,M
706,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Morning,M
709,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Visibility,Straight Ahead,Normal,Night,M
714,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
717,0.0,1.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,0.0,Skill,Traffic Maneuver,Normal,Afternoon,F
723,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
724,1.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Traffic Maneuver,Shaken,Afternoon,M
725,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Other,Afternoon,M
733,0.0,0.0,Middle-aged,Unsafe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Traffic Maneuver,Normal,Afternoon,M
737,0.0,0.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Reckless,Turning Maneuver,Normal,Afternoon,M
744,0.0,1.0,Middle-aged,Unsafe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
760,0.0,0.0,Middle-aged,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Turning Maneuver,Normal,Afternoon,M
769,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Night,F
777,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Afternoon,F
778,0.0,0.0,Elderly,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,0.0,Skill,Straight Ahead,Normal,Morning,M
