,INJURY_BAD,HELMET_USED,age_bins,SAFE_PEDAL_ACTION,PROTECTIVE_CLOTHING,SAFE_LOCATION,WEATHER_CAT,road_surf_bins,DAYTIME,SPEED_RATING,physical_bins,hour_bins,SEX
270,0.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
272,1.0,0.0,Adult,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
273,1.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
274,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
277,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
278,1.0,0.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Above Average Speed,Normal,Morning,M
279,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
280,0.0,0.0,Adolescent,Unsafe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
282,0.0,0.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
284,0.0,0.0,Adult,Neutral,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Night,F
285,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
287,0.0,0.0,Middle-aged,Unsafe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Impaired,Night,M
288,0.0,0.0,Adult,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Shaken,Night,F
289,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Below Average Speed,Normal,Morning,F
290,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
291,0.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
292,0.0,0.0,Adolescent,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
293,0.0,0.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Other,Night,M
294,0.0,1.0,Adolescent,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Morning,M
295,0.0,1.0,Adult,Safe,1.0,1.0,Adverse Weather,Wet,1,Average Speed,Other,Afternoon,M
296,0.0,1.0,Middle-aged,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
297,0.0,0.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Shaken,Morning,F
298,0.0,1.0,Adult,Safe,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
299,0.0,1.0,Elderly,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
300,0.0,0.0,Adolescent,Neutral,0.0,0.0,Clear Weather,Dry,1,Below Average Speed,Normal,Afternoon,M
305,0.0,0.0,Adult,Neutral,0.0,0.0,Adverse Weather,Wet,1,Average Speed,Shaken,Afternoon,M
307,0.0,0.0,Elderly,Safe,1.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,F
308,0.0,1.0,Adult,Safe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,F
309,0.0,1.0,Adult,Safe,0.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
312,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
314,0.0,1.0,Adult,Neutral,1.0,1.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
315,1.0,0.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,1,Average Speed,Shaken,Morning,F
316,0.0,0.0,Middle-aged,Neutral,0.0,0.0,Clear Weather,Dry,1,Average Speed,Normal,Afternoon,M
318,0.0,1.0,Middle-aged,Safe,0.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Afternoon,M
319,0.0,0.0,Adolescent,Unsafe,1.0,0.0,Clear Weather,Dry,0,Average Speed,Normal,Night,M
